Category,Choline,Vitamin B3,Vitamin B5,Vitamin B2,Selenium,Vitamin B1,Vitamin B12,Vitamin B6,Retinol,Water,Monosaturated Fat,Polysaturated Fat,Saturated Fat,Calcium,Iron,Magnesium,Phosphorus,Potassium,Sodium,.Zinc,Vitamin C,Vitamin E,Vitamin K
BUTTER,19,0.042,0.11,0.034,1,0.005,0.17,0.003,671,15.87,21.021,3.043,51.368,24,0.02,2,24,24,576,0.09,0,2.32,7
BUTTER,19,0.042,0.11,0.034,1,0.005,0.13,0.003,671,15.87,23.426,3.012,50.489,24,0.16,2,23,26,827,0.05,0,2.32,7
BUTTER OIL,22,0.003,0.01,0.005,0,0.001,0.01,0.001,824,0.24,28.732,3.694,61.924,4,0,0,3,5,2,0.01,0,2.8,8.6
CHEESE,15,1.016,1.729,0.382,14.5,0.029,1.22,0.166,192,42.41,7.778,0.8,18.669,528,0.31,23,387,256,1395,2.66,0,0.25,2.4
CHEESE,15,0.118,0.288,0.351,14.5,0.014,1.26,0.065,286,41.11,8.598,0.784,18.764,674,0.43,24,451,136,560,2.6,0,0.26,2.5
CHEESE,15,0.38,0.69,0.52,14.5,0.07,1.65,0.235,173,48.42,8.013,0.826,17.41,184,0.5,20,188,152,629,2.38,0,0.24,2.3
CHEESE,15,0.63,1.364,0.488,14.5,0.028,1.3,0.227,240,51.8,7.023,0.724,15.259,388,0.33,20,347,187,842,2.38,0,0.21,2
CHEESE,0,0.18,0.19,0.45,14.5,0.031,0.27,0.074,262,39.28,8.275,0.83,18.584,673,0.64,22,490,93,690,2.94,0,0,0
CHEESE,16,0.08,0.413,0.375,13.9,0.027,0.83,0.074,258,36.75,9.391,0.942,21.092,721,0.68,28,512,98,621,3.11,0,0.29,2.8
CHEESE,0,0.08,0.413,0.293,14.5,0.046,0.83,0.074,220,37.65,8.671,0.87,19.475,643,0.21,21,464,95,700,2.79,0,0,0
CHEESE,15,0.093,0.21,0.375,14.5,0.015,0.83,0.079,257,38.2,9.28,0.953,20.218,685,0.76,26,457,127,604,3.07,0,0.28,2.7
CHEESE,18,0.099,0.557,0.163,9.7,0.027,0.43,0.046,36,79.79,0.778,0.123,1.718,83,0.07,8,159,104,364,0.4,0,0.08,0
CHEESE,18,0.15,0.181,0.142,7.7,0.033,0.53,0.068,37,79.64,1.036,0.124,2.311,53,0.16,7,113,90,344,0.33,1.4,0.04,0.4
CHEESE,18,0.144,0.446,0.226,9.4,0.023,0.46,0.016,2,81.01,0.079,0.003,0.169,86,0.15,11,190,137,330,0.47,0,0.01,0
CHEESE,16,0.108,0.253,0.198,9.9,0.041,0.45,0.022,19,80.69,0.443,0.07,0.979,91,0.15,7,163,84,330,0.41,0,0.04,0
CHEESE,18,0.128,0.215,0.165,9,0.021,0.63,0.068,11,82.48,0.291,0.031,0.645,61,0.14,5,134,86,406,0.38,0,0.01,0.1
CHEESE,27,0.145,0.57,0.125,2.4,0.02,0.25,0.035,359,54.44,8.62,1.437,19.292,98,0.38,9,106,138,321,0.51,0,0.65,3.4
CHEESE,15,0.082,0.281,0.389,14.5,0.037,1.54,0.076,242,41.56,8.125,0.665,17.572,731,0.44,30,536,188,965,3.75,0,0.24,2.3
CHEESE,15,0.991,0.967,0.844,15,0.154,1.69,0.424,125,55.22,4.623,0.591,14.946,493,0.65,19,337,62,1116,2.88,0,0.18,1.8
CHEESE,15,0.15,0.429,0.204,14.5,0.021,1.68,0.083,258,37.92,8.687,1.654,19.196,550,0.23,14,346,64,800,3.5,0,0.27,2.6
CHEESE,0,0.813,3.351,1.382,14.5,0.315,2.42,0.271,334,13.44,7.879,0.938,19.16,400,0.52,70,444,1409,600,1.14,0,0,0
CHEESE,15,0.063,0.34,0.334,14.5,0.03,1.54,0.08,164,41.46,7.747,0.657,17.614,700,0.24,29,546,121,819,3.9,0,0.24,2.3
CHEESE,15,0.106,0.562,0.279,14.5,0.06,1.6,0.081,268,33.19,10.043,1.733,18.913,1011,0.17,36,605,81,336,3.9,0,0.28,2.7
CHEESE,15,0.158,1.177,0.503,14.5,0.08,1.04,0.086,339,48.42,8.606,0.495,16.746,497,0.13,21,393,128,800,2.1,0,0.23,2.3
CHEESE,15,0.093,0.21,0.39,14.5,0.015,0.83,0.079,192,41.01,8.751,0.899,19.066,746,0.72,27,444,81,536,3,0,0.26,2.5
CHEESE,15,0.104,0.141,0.283,17,0.03,2.28,0.037,174,50.01,6.573,0.765,13.152,505,0.44,20,354,76,627,2.92,0,0.19,2.3
CHEESE,15,0.094,0.071,0.27,16.1,0.016,0.73,0.062,192,48.38,7.027,0.778,15.561,575,0.2,21,412,75,415,2.46,0,0.21,2.5
CHEESE,15,0.105,0.079,0.303,14.4,0.018,0.82,0.07,124,53.78,4.51,0.472,10.114,782,0.22,23,463,84,619,2.76,0,0.14,1.6
CHEESE,14,0.119,0.09,0.329,16.3,0.101,2.31,0.079,133,46.46,5.73,0.626,12.67,731,0.25,26,524,95,528,3.13,0,0.37,1.3
CHEESE,15,0.103,0.19,0.32,14.5,0.013,1.47,0.056,297,41.77,8.711,0.661,19.113,717,0.41,27,468,134,628,2.81,0,0.26,2.5
CHEESE,0,0.21,0.575,0.155,3,0.022,0.3,0.041,239,63.11,5.784,0.97,12.79,117,0.13,10,138,152,334,0.82,0,0.4,1.7
CHEESE,15,0.114,0.325,0.486,17.7,0.029,2.26,0.049,117,20.84,8.375,1.173,17.301,1109,0.9,38,729,125,1529,3.87,0,0.26,1.9
CHEESE,15,0.271,0.453,0.332,22.5,0.039,1.2,0.091,106,29.16,7.515,0.569,16.41,1184,0.82,44,694,92,1602,2.75,0,0.23,1.7
CHEESE,15,0.06,0.21,0.24,14.5,0.014,1.5,0.053,313,45.45,9.338,0.729,16.691,650,0.43,24,360,136,534,2.6,0,0.24,2.4
CHEESE,15,0.156,0.476,0.321,14.5,0.019,1.46,0.073,230,40.95,7.393,0.769,17.078,756,0.52,28,496,138,876,3.23,0,0.23,2.2
CHEESE,18,0.104,0.213,0.195,14.5,0.013,0.34,0.043,117,71.7,3.627,0.385,8.295,207,0.38,11,158,105,84,1.16,0,0.11,1.1
CHEESE,18,0.078,0.242,0.185,16.7,0.021,0.29,0.02,105,74.41,2.314,0.26,4.927,272,0.44,15,183,125,125,1.34,0,0.07,0.7
CHEESE,15,0.077,0.424,0.37,14.5,0.037,1.12,0.085,90,30.91,7.838,0.593,17.115,1064,0.77,41,760,86,1200,2.58,0,0.23,2.2
CHEESE,0,0.734,1.731,0.586,14.5,0.04,0.64,0.124,290,39.38,8.474,1.32,19.263,662,0.56,30,392,91,1809,2.08,0,0,0
CHEESE,16,0.092,0.429,0.296,18.2,0.063,3.34,0.083,214,37.12,7.274,0.972,17.779,791,0.2,38,567,77,192,4.36,0,0.38,2.5
CHEESE,0,0.205,0.346,0.359,14.5,0.061,2.1,0.065,236,42.86,7.136,0.721,16.775,700,0.23,13,500,65,753,3.5,0,0,0
CHEESE,36,0.069,0.482,0.353,14.4,0.027,0.7,0.071,247,39.16,8.951,0.99,19.694,552,0.19,27,513,169,1489,2.84,0,0.27,2.7
CHEESE,36,0.078,0.485,0.354,14.5,0.027,0.7,0.071,235,39.08,8.937,0.988,19.663,614,0.42,22,744,162,1428,2.98,2.3,0.29,2.9
CHEESE,36,0.038,0.26,0.276,15.9,0.014,1.23,0.036,192,42.31,7.046,0.622,16.045,772,0.61,29,762,216,1370,3.61,0,0.34,2.2
CHEESE FD,0,0.074,0.977,0.446,16.2,0.03,1.28,0.141,148,43.12,7.165,0.719,15.355,497,0.84,30,400,363,966,3.01,0,0,0
CHEESE FD,36,0.17,0.974,0.517,16.1,0.068,1.26,0.073,196,43.21,7.214,1.108,14.895,570,0.57,31,439,291,1265,3.19,0,0.22,3.4
CHEESE FD,0,0.104,0.5,0.4,16.1,0.014,2.3,0.035,233,43.67,6.801,0.6,15.487,723,0.6,28,526,284,1552,3.55,0,0,0
CHEESE SPRD,36,0.131,0.686,0.431,11.3,0.048,0.4,0.117,168,47.65,6.219,0.624,13.327,562,0.33,29,712,242,1345,2.59,0,0.19,1.8
CREAM,19,0.078,0.289,0.149,1.8,0.035,0.33,0.039,95,80.57,3.321,0.427,7.158,105,0.07,10,95,130,41,0.51,0.9,0.33,1.3
CREAM,17,0.057,0.276,0.148,0.6,0.032,0.22,0.032,178,73.75,5.577,0.717,12.02,96,0.04,9,80,122,40,0.27,0.8,0.55,1.7
CREAM,17,0.042,0.259,0.125,0.5,0.024,0.2,0.028,274,63.5,9.093,0.884,19.337,69,0.03,7,61,97,34,0.25,0.6,0.88,2.7
CREAM,17,0.039,0.255,0.11,0.5,0.022,0.18,0.026,405,57.71,10.686,1.374,23.032,65,0.03,7,62,75,38,0.23,0.6,1.06,3.2
CREAM,17,0.07,0.305,0.065,1.4,0.037,0.29,0.041,184,61.33,6.418,0.825,13.831,101,0.05,11,89,147,130,0.37,0,0.64,1.9
CREAM,19,0.067,0.363,0.149,2.1,0.035,0.3,0.016,100,80.14,3.466,0.446,7.47,104,0.07,10,95,129,41,0.5,0.9,0.34,0.6
CREAM,19,0.109,0.336,0.172,2.6,0.036,0.28,0.057,160,74.46,5.068,0.84,11.507,110,0.17,10,115,141,80,0.38,0.9,0.44,1.8
No Category,52,0.105,0.417,0.19,4.2,0.034,0.45,0.05,45,74.37,2.233,0.339,4.443,130,0.2,19,109,165,54,0.46,1.5,0.2,0.2
SOUR DRSNG,15,0.074,0.398,0.163,2.3,0.038,0.33,0.017,3,74.79,1.958,0.468,13.272,113,0.03,10,87,162,48,0.37,0.9,1.34,4.1
MILK,0,0.087,0.301,0.123,2,0.03,0.34,0.04,2,87.67,1.783,0.75,0.768,128,0.05,13,97,139,57,0.36,0.9,0,0
MILK,15,0.087,0.301,0.123,2,0.03,0.34,0.04,2,87.73,0.1,0.01,3.101,128,0.05,13,97,139,57,0.36,0.9,0.13,0.8
CREAM SUB,0,0,0,0,1.1,0,0,0,0,77.27,7.551,0.027,1.937,9,0.03,0,64,191,79,0.02,0,0.81,2.5
CREAM SUB,0,0,0,0,1.1,0,0,0,0,77.27,0.106,0.003,9.304,9,0.03,0,64,191,79,0.02,0,0,0
CREAM SUBSTITUTE,2,0,0,0.165,0.6,0,0,0,0,2.21,0.968,0.014,32.525,22,1.15,4,422,812,181,0.51,0,0.59,8.8
DESSERT TOPPING,0,0,0,0,0.6,0,0,0,0,1.47,0.6,0.447,36.723,17,0.03,7,74,166,122,0.08,0,1.52,9.9
DESSERT TOPPING,11,0.06,0.226,0.117,4.8,0.027,0.26,0.03,21,66.65,0.843,0.201,10.684,90,0.04,10,86,151,66,0.27,0.7,0.44,2.7
DESSERT TOPPING,0,0,0,0,1.5,0,0,0,0,60.37,1.927,0.241,18.912,5,0.02,1,18,19,62,0.01,0,0.85,5.5
DESSERT TOPPING,0,0,0,0,2.1,0,0,0,0,50.21,1.616,0.523,21.783,6,0.12,2,8,18,25,0.03,0,0.96,6.3
SOUR CRM,0,0,0,0,2.5,0,0,0,0,71.15,0.588,0.056,17.791,3,0.39,6,45,161,102,1.18,0,0.74,4.8
MILK SUBSTITUTES,0,0,0,0.088,1.9,0.012,0,0,0,88.18,1.998,0.488,0.767,33,0.39,6,74,114,78,1.18,0,0.28,0.8
MILK SUBSTITUTES,0,0,0,0.088,1.9,0.012,0,0,0,88.18,0.176,0.008,3.037,33,0.39,6,74,114,78,1.18,0,0,0
MILK,14,0.107,0.362,0.183,3.7,0.044,0.44,0.036,28,88.32,0.812,0.195,1.865,113,0.03,10,91,143,40,0.4,0,0.06,0.2
MILK,0,0.084,0.313,0.161,2,0.038,0.36,0.042,31,87.69,1.057,0.136,2.278,119,0.05,13,93,151,49,0.38,1.5,0,0
MILK,16,0.092,0.356,0.185,2.5,0.039,0.46,0.038,55,89.33,0.56,0.073,1.257,117,0.03,11,94,150,41,0.43,0.2,0.03,0.2
MILK,0,0.09,0.336,0.173,2.3,0.04,0.38,0.045,55,88.86,0.555,0.071,1.195,128,0.05,14,100,162,52,0.4,1,0,0
MILK,0,0.101,0.376,0.194,2.6,0.045,0.43,0.051,0,87.71,0.572,0.074,1.232,143,0.06,16,112,182,59,0.45,1.1,0.04,0.1
MILK,18,0.093,0.361,0.185,3.3,0.02,0.44,0.037,58,89.92,0.277,0.035,0.633,119,0.03,11,95,150,44,0.42,0,0.01,0.1
MILK,0,0.09,0.336,0.173,2.3,0.04,0.38,0.045,58,89.81,0.28,0.036,0.604,128,0.05,14,100,162,52,0.4,1,0,0
MILK,0,0.1,0.373,0.192,2.5,0.045,0.43,0.05,61,88.74,0.338,0.043,0.728,142,0.06,16,111,180,58,0.45,1.2,0,0
MILK,16,0.094,0.357,0.182,3.1,0.045,0.53,0.037,61,90.84,0.021,0.003,0.051,125,0.03,11,101,156,42,0.42,0,0.01,0
MILK,16,0.091,0.339,0.175,2.2,0.041,0.39,0.046,61,90.38,0.065,0.009,0.162,129,0.05,15,104,171,53,0.41,1,0,0
MILK,0,0.101,0.376,0.194,2.4,0.045,0.43,0.05,61,89.36,0.065,0.009,0.162,143,0.06,16,112,182,59,0.45,1.1,0,0
MILK,16,0.058,0.275,0.154,2,0.034,0.22,0.034,7,90.13,0.254,0.033,0.548,116,0.05,11,89,151,105,0.42,1,0.05,0.1
MILK,16,0.043,0.304,0.105,2,0.02,0.36,0.034,28,88.2,0.999,0.128,2.154,101,0.05,5,86,253,3,0.38,0.9,0.06,0.2
MILK,119,0.646,2.271,1.205,16.3,0.283,3.25,0.302,253,2.47,7.924,0.665,16.742,912,0.47,85,776,1330,371,3.34,8.6,0.48,1.8
MILK,169,0.951,3.568,1.55,27.3,0.415,4.03,0.361,6,3.16,0.201,0.03,0.499,1257,0.32,110,968,1794,535,4.08,6.8,0,0.1
MILK,168,0.891,3.235,1.744,27.3,0.413,3.99,0.345,709,3.96,0.187,0.028,0.467,1231,0.31,117,985,1705,549,4.41,5.6,0.01,0
MILK,0,0.665,3.312,1.642,27.3,0.163,3.98,0.298,1,4.9,0.058,0.007,0.124,280,0.32,60,1011,680,2280,4.03,6.7,0,0
MILK,119,0.876,3.17,1.579,20.3,0.392,3.82,0.338,48,2.97,1.669,0.215,3.598,1184,0.3,110,933,1592,517,4.02,5.7,0.1,0.4
MILK,89,0.21,0.75,0.416,14.8,0.09,0.44,0.051,73,27.16,2.427,0.337,5.486,284,0.19,26,253,371,127,0.94,2.6,0.16,0.6
MILK,32,0.194,0.638,0.316,2.3,0.047,0.16,0.05,64,74.04,2.335,0.245,4.591,261,0.19,24,203,303,106,0.77,1.9,0.14,0.5
